case_number,source,prompt,evaluation_seed,coco_id
10904,coco-30k,two trains parked on the tracks next to some platforms ,39077,410951
10908,coco-30k,a large herd of sheep walking down a dirt road.,47065,171601
10913,coco-30k,A red fire hydrant on a city street sidewalk.,44237,129547
10915,coco-30k,Two sheep grazing the field in a mountainous area. ,16519,442149
10924,coco-30k,this is a cat on a chair with a hat,406,287033
10925,coco-30k,a old bench and a small chair sitting beside it,43039,256403
10929,coco-30k,A city traffic light is red with a large billow of smoke in the background.,93794,306303
10950,coco-30k,A white and yellow train traveling through a rural country side.,78529,208648
10958,coco-30k,A bird standing next to a lot of tall grass.,84936,475223
10961,coco-30k,A group of three parked buses in front of a tall building.,88568,409921
10966,coco-30k,"Close up of a traffic light with three lights, the top illuminated red with a person image, the second down not illuminated, and the bottom on hanging down.",31062,227125
10988,coco-30k,A photo of a cat in black and white. The person taking the picture is visible in the mirror.,96050,326814
11016,coco-30k,A giraffe standing next to a stone wall.,34677,384848
11025,coco-30k,a street light that is covered in dirt and rust,74445,83331
11034,coco-30k,a narrow alley with signs and buildings down it,52876,527962
11036,coco-30k,a man wearing a top hat and a red tie ,62616,483667
11051,coco-30k,A fire hydrant that is in the grass.,54601,248163
11053,coco-30k,Three giraffes that are standing in the grass.,14257,10211
11058,coco-30k,A picnic table on a porch overlooking a body of water.,5357,39399
11060,coco-30k,A large blue bird standing on top of a rock.,391,498942
11062,coco-30k,a steam locomotive on a narrow gauge track in the snow,63831,431523
11075,coco-30k,A bunch of goats are eating out of a box,25557,571944
